epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.15527,1.75478,3.29284,0.00827,0.25945,0.27778,0.29692,0.18057,1.23528,4.24672,0.00986,0.00324074,0.00324074,0.0708333
2,12.8141,1.37182,1.38006,0.00597,0.46546,0.23611,0.29,0.12065,1.95321,4.10239,0.01548,0.00655625,0.00655625,0.0408155
3,18.4508,1.35841,1.112,0.00597,0.24924,0.75,0.62703,0.26292,2.36173,2.85302,0.02045,0.00980024,0.00980024,0.0107262
4,24.2113,1.3658,0.95747,0.00632,0.8799,0.80773,0.87895,0.52003,1.66755,0.87938,0.01353,0.00975773,0.00975773,0.00975773
5,30.0257,1.289,0.81637,0.00561,0.77562,0.97341,0.995,0.64435,1.3881,0.81065,0.00956,0.00957205,0.00957205,0.00957205
6,35.7292,1.28166,0.70346,0.00555,0.85439,0.84722,0.95768,0.60191,1.40001,0.94969,0.01037,0.00933683,0.00933683,0.00933683
7,41.2541,1.22725,0.64871,0.00533,0.81538,1,0.98518,0.64799,1.28086,0.81298,0.00942,0.00905463,0.00905463,0.00905463
8,46.6789,1.19099,0.58956,0.00524,0.85507,0.65688,0.71862,0.425,2.0069,2.2327,0.0194,0.00872857,0.00872857,0.00872857
9,51.8718,1.15972,0.54374,0.00493,0.82709,0.5,0.64061,0.3693,2.13613,2.19402,0.01946,0.0083622,0.0083622,0.0083622
10,57.0112,1.1343,0.50989,0.00488,0.93812,1,0.995,0.6807,1.22092,0.47595,0.00877,0.00795954,0.00795954,0.00795954
11,62.2263,1.12298,0.50793,0.00475,0.76371,0.98418,0.99,0.71457,1.13011,0.48827,0.00752,0.007525,0.007525,0.007525
12,67.4,1.08781,0.47539,0.00448,0.96863,0.95143,0.995,0.71014,1.1431,0.50101,0.00875,0.00706335,0.00706335,0.00706335
13,72.553,1.10531,0.45825,0.00457,0.91834,0.94009,0.995,0.70311,1.18711,0.4064,0.0089,0.00657963,0.00657963,0.00657963
14,77.6804,1.04591,0.42228,0.00441,0.90165,1,0.995,0.70905,1.16996,0.48268,0.00756,0.00607916,0.00607916,0.00607916
15,82.85,1.04787,0.41028,0.00435,0.98764,0.875,0.90172,0.67868,1.05873,0.50607,0.00678,0.00556742,0.00556742,0.00556742
16,88.0886,1.03824,0.39513,0.00425,0.98216,0.875,0.90355,0.66188,1.09249,0.50934,0.00835,0.00505,0.00505,0.00505
17,93.2586,1.02,0.38971,0.00431,0.92968,1,0.9825,0.73882,1.05011,0.34093,0.00721,0.00453258,0.00453258,0.00453258
18,98.4149,1.00571,0.3687,0.00427,0.97831,0.935,0.995,0.78904,0.91964,0.30473,0.00595,0.00402084,0.00402084,0.00402084
19,103.579,0.98988,0.35777,0.0042,0.92922,1,0.995,0.75851,0.98982,0.305,0.00644,0.00352037,0.00352037,0.00352037
20,108.84,0.9875,0.35777,0.00407,0.91434,1,0.995,0.77249,0.95167,0.30759,0.00624,0.00303665,0.00303665,0.00303665
21,124.128,0.96457,0.32224,0.00459,0.96397,1,0.995,0.77739,0.90625,0.31556,0.00611,0.002575,0.002575,0.002575
22,129.044,0.94919,0.30939,0.0045,0.97692,0.97222,0.99,0.76858,0.93474,0.33291,0.00597,0.00214046,0.00214046,0.00214046
23,133.929,0.93486,0.29849,0.0044,0.97581,0.91597,0.995,0.7744,0.96934,0.34807,0.00657,0.0017378,0.0017378,0.0017378
24,138.911,0.91392,0.28859,0.00428,0.98778,0.93615,0.995,0.7944,0.90016,0.33195,0.00588,0.00137143,0.00137143,0.00137143
25,143.818,0.91337,0.28401,0.0042,0.98616,0.96259,0.995,0.78867,0.89949,0.28521,0.00596,0.00104537,0.00104537,0.00104537
26,148.719,0.90127,0.2839,0.00422,0.95961,1,0.99,0.80055,0.86539,0.28044,0.00551,0.000763174,0.000763174,0.000763174
27,153.668,0.89889,0.28451,0.00425,0.96729,1,0.995,0.78973,0.87323,0.27888,0.00565,0.00052795,0.00052795,0.00052795
28,158.565,0.87877,0.2681,0.00415,0.97534,1,0.995,0.79876,0.87403,0.28162,0.00557,0.00034227,0.00034227,0.00034227
29,163.561,0.87935,0.27163,0.00412,0.95429,1,0.995,0.79513,0.8645,0.28883,0.00554,0.000208169,0.000208169,0.000208169
30,168.454,0.87597,0.26956,0.00401,0.94485,0.98528,0.995,0.79179,0.86169,0.29049,0.00552,0.000127117,0.000127117,0.000127117
